index,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,JavaScript (6739),JavaScript (13551),JavaScript (20208),JavaScript (28129),JavaScript (31692),SQL (56766),SQL (96445),Работа в команде (92399),SQL (60041)
2,ООП (5156),HTML (9837),HTML (14523),HTML (20190),SQL (25677),Git (45513),Работа в команде (96443),SQL (89846),Работа в команде (44263)
3,jQuery (5136),PHP (9042),PHP (12715),Git (19466),Git (25155),Английский язык (43442),Английский язык (86375),Английский язык (70600),Linux (39581)
4,HTML5 (5015),Git (8458),CSS (12711),CSS (17629),HTML (22151),JavaScript (41358),Грамотная речь (77198),Git (67750),Git (36632)
5,HTML (3826),Ведение переговоров (8407),Git (12589),PHP (17171),Работа в команде (20011),Работа в команде (39116),Git (74325),Linux (57907),Python (34394)
6,C# (3461),CSS (8177),MySQL (11198),SQL (16146),Английский язык (19677),Пользователь ПК (37625),Пользователь ПК (62078),Пользователь ПК (53027),Грамотная речь (31328)
7,MVC (3152),jQuery (7696),Ведение переговоров (10197),MySQL (15705),CSS (19624),Linux (36583),JavaScript (58666),Грамотная речь (47852),PostgreSQL (29287)
8,.NET Framework (3118),MySQL (7631),SQL (9948),Ведение переговоров (15266),Пользователь ПК (18711),Грамотная речь (33870),Linux (57977),Python (47823),Пользователь ПК (27472)
9,CSS (3037),Работа в команде (7109),jQuery (9724),Управление проектами (13633),Linux (18183),Java (30733),Управление проектами (51194),JavaScript (45665),Английский язык (26259)
10,ASP.NET (3006),HTML5 (6776),HTML5 (8950),Работа в команде (13217),Ведение переговоров (18099),HTML (28111),Python (49880),Управление проектами (45074),Управление проектами (25856)
11,PHP (2792),Пользователь ПК (6727),Управление проектами (8723),Java (12973),Управление проектами (17966),Python (28064),Java (42796),PostgreSQL (37271),JavaScript (24649)
12,Git (2540),SQL (6613),Java (8421),Linux (12447),PHP (17523),Управление проектами (27749),HTML (38024),Adobe Photoshop (35145),Adobe Photoshop (23718)
13,MySQL (2442),Java (6498),Работа в команде (8174),Пользователь ПК (11593),Java (17148),CSS (25529),PostgreSQL (36159),Java (34056),Аналитическое мышление (23434)
14,Ведение переговоров (2434),Управление проектами (6359),Linux (7962),HTML5 (11425),MySQL (16194),Активные продажи (23285),Ведение переговоров (35473),Техническое обслуживание (29312),1С программирование (21410)
15,Java (2343),ООП (6035),ООП (7922),jQuery (11332),Грамотная речь (15910),MS SQL (23199),Adobe Photoshop (33659),MS PowerPoint (27901),Работа с большим объемом информации (20614)
16,SQL (2175),Грамотная речь (5501),Пользователь ПК (7210),Английский язык (10910),Python (14737),MySQL (22513),CSS (32996),1С программирование (27312),Java (19946)
17,Управление проектами (1977),CSS3 (5372),Английский язык (6897),Активные продажи (10251),Активные продажи (12494),PostgreSQL (21948),Грамотность (32912),HTML (26775),Деловое общение (17955)
18,Поиск и привлечение клиентов (1868),Поиск и привлечение клиентов (5286),Активные продажи (6872),Грамотная речь (9872),ООП (11569),Ведение переговоров (21108),Деловое общение (31642),Аналитическое мышление (26693),Техническая поддержка (17893)
19,CSS3 (1828),Навыки продаж (5123),CSS3 (6592),ООП (9803),Деловая переписка (11237),PHP (20971),Активные продажи (30767),Грамотность (25884),PHP (17571)
20,Английский язык (1732),Активные продажи (5051),B2B Продажи (6432),Деловая переписка (9634),B2B Продажи (11159),ООП (17812),MS SQL (30597),PHP (25702),Docker (17242)
