index,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,UI (160),UX (325),UX (525),UX (872),UX (1206),UX (1934),UX (3878),Figma (4156),Figma (3088)
2,UX (152),UI (308),UI (501),UI (820),UI (1101),UI (1763),UI (3524),Adobe Photoshop (3875),UX (2715)
3,Usability (109),Adobe Photoshop (241),Adobe Photoshop (412),Adobe Photoshop (683),Adobe Photoshop (808),Adobe Photoshop (1546),Adobe Photoshop (3483),UX (3625),UI (2548)
4,Design (86),Дизайн интерфейсов (229),Дизайн интерфейсов (342),Дизайн интерфейсов (575),Дизайн интерфейсов (691),Adobe Illustrator (1066),Figma (2748),UI (3292),Adobe Photoshop (2201)
5,Adobe Photoshop (82),Проектирование пользовательских интерфейсов (203),Adobe Illustrator (301),Adobe Illustrator (500),Проектирование пользовательских интерфейсов (655),Дизайн интерфейсов (1045),Adobe Illustrator (2167),Adobe Illustrator (2300),Adobe Illustrator (1413)
6,Web Design (56),Adobe Illustrator (172),Проектирование пользовательских интерфейсов (296),Web-дизайн (479),Adobe Illustrator (605),Проектирование пользовательских интерфейсов (1011),Дизайн интерфейсов (1737),Дизайн интерфейсов (1537),Дизайн интерфейсов (1380)
7,Проектирование пользовательских интерфейсов (49),Web-дизайн (157),Web-дизайн (290),Проектирование пользовательских интерфейсов (429),Web-дизайн (593),Web-дизайн (846),Проектирование пользовательских интерфейсов (1602),Web-дизайн (1147),Web-дизайн (1148)
8,Дизайн интерфейсов (49),Usability (139),Графический дизайн (241),Usability (338),Веб-дизайн (385),Figma (563),Web-дизайн (1305),Английский язык (1139),Проектирование пользовательских интерфейсов (969)
9,CSS (49),Прототипирование (130),Веб-дизайн (221),Web Design (337),Web Design (369),Дизайн (509),Английский язык (1098),Проектирование пользовательских интерфейсов (1118),UI/UX (837)
10,Axure RP (39),Web Design (127),Usability (209),Веб-дизайн (329),Графический дизайн (354),Web Design (463),Веб-дизайн (899),Креативность (1078),Веб-дизайн (772)
11,Adobe Illustrator (35),Веб-дизайн (126),Прототипирование (197),Графический дизайн (317),Прототипирование (339),Веб-дизайн (463),Графический дизайн (879),Графический дизайн (917),Графический дизайн (751)
12,Web-дизайн (35),Графический дизайн (124),Web Design (187),Прототипирование (275),Usability (329),Графический дизайн (398),Дизайн (870),UI/UX (825),Дизайн (713)
13,Графический дизайн (34),Дизайн (117),Дизайн (162),CSS (246),Дизайн (324),Английский язык (394),Креативность (712),Веб-дизайн (795),Креативность (655)
14,Дизайн (34),HTML (91),HTML (127),Дизайн (236),HTML (282),HTML (324),Web Design (707),Работа в команде (772),Web Design (591)
15,Прототипирование (29),CSS (84),Axure RP (126),HTML (202),CSS (265),Usability (294),Прототипирование (662),Дизайн (723),Прототипирование (565)
16,Веб-дизайн (29),Axure RP (83),CSS (119),Sketch (181),Figma (253),Прототипирование (283),Работа в команде (598),Прототипирование (680),Design (509)
17,Adobe (29),JavaScript (75),Sketch (93),Axure RP (161),Sketch (231),CSS (281),HTML (562),Web Design (534),Usability (362)
18,Balsamiq (28),Sketch (51),Английский язык (70),Английский язык (132),Английский язык (203),Sketch (255),Usability (537),HTML (462),Работа в команде (361)
19,UI/UX Design (27),HTML5 (51),CorelDRAW (69),JavaScript (129),Axure RP (182),Креативность (247),CSS (530),Usability (449),Английский язык (359)
20,XHTML (27),CSS3 (48),HTML5 (62),HTML5 (118),JavaScript (161),iOS (213),UI/UX (436),Adobe After Effect (429),HTML (282)
